web_scraper_order,web_scraper_start_url,containers_links,number_of_rooms,number_of_bathrooms,surface area,address
"1765216127-1","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-mermoz-sacre-cur-4058141","4","4","198","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216130-2","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-f4-sacre-cur-4058803","4","4","","Sacré-Coeur, Dakar, Sénégal"
"1765216132-3","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-5-pieces-dakar-plateau-4059628","5","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216135-4","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-point-e-4063415","4","","","Point E, Dakar, Sénégal"
"1765216137-5","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-mamelles-4064471","3","3","","Mamelles, Dakar, Sénégal"
"1765216140-6","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-studio-yoff-virage-cite-biagui-4066786","1","1","","Yoff, Dakar, Sénégal"
"1765216142-7","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-f3-amitie-1-4066895","3","3","","Dakar, Sénégal"
"1765216144-8","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-plateau-4068185","3","2","21","Dakar Plateau, Dakar, Sénégal"
"1765216147-9","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartement-mermoz-4068836","3","3","","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765216149-10","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-studio-point-e-4066892","2","2","65 m2","Point E, Dakar, Sénégal"
"1765216152-11","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-4-pieces-dakar-plateau-4069537","4","4","12","Dakar Plateau, Dakar, Sénégal"
"1765216154-12","https://sn.coinafrique.com/categorie/appartements?page=100","https://sn.coinafrique.com/annonce/appartements/location-appartements-3-pieces-dakar-plateau-4069726","3","2","12","Dakar Plateau, Dakar, Sénégal"
"1765216160-13","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-4-pieces-virage-yoff-4070926","4","4","","Yoff, Dakar, Sénégal"
"1765216162-14","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartement-3-pieces-bourguiba-4070992","3","2","","Point E, Dakar, Sénégal"
"1765216165-15","https://sn.coinafrique.com/categorie/appartements?page=99","https://sn.coinafrique.com/annonce/appartements/location-appartements-2-pieces-almadies-4068288","2","2","75","Almadies, Dakar, Sénégal"
