web_scraper_order,web_scraper_start_url,containers,area,price,address,image_link
"1765215470-1","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-200-m2-lac-rose-3259838"
"1765215470-2","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-400-m2-fimela-3259817"
"1765215470-3","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-300m-a-a-la-cite-des-fonctionnaires-diamniadio-3259331"
"1765215470-4","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-a-keur-massar-3259315"
"1765215470-5","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-200-m2-almadies-3259182"
"1765215470-6","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-212m-sicap-foire-3258664"
"1765215470-7","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-lac-rose-3258438"
"1765215470-8","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-170-m-kounoune-3258406"
"1765215470-9","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-carriere-silex-thies-3258383"
"1765215470-10","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-mbour-3257965"
"1765215470-11","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-diass-3257385"
"1765215470-12","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-mbour-3257288"
"1765215470-13","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terain-300-m2-3257278"
"1765215470-14","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-rufisque-3257273"
"1765215470-15","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-3000-m2-colobane-3257171"
"1765215470-16","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-3256730"
"1765215470-17","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-225-m2-sindia-3256692"
"1765215470-18","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-600-m2-sindia-3256647"
"1765215470-19","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-300-m2-sindia-3256589"
"1765215470-20","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-200-m-cite-djily-mbaye-3256039"
"1765215470-21","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-sendou-3255984"
"1765215470-22","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vendre-terrain-199-m2-dakar-plateau-3255868"
"1765215470-23","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-318-m2-almadies-3255851"
"1765215470-24","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-almadies-3255527"
"1765215470-25","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-3-3255160"
"1765215470-26","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-mbao-3255072"
"1765215470-27","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-225m-lene-3255038"
"1765215470-28","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-3254765"
"1765215470-29","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-300-m-tivaouane-peul-3254686"
"1765215470-30","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-150-ha-thienaba-3254563"
"1765215470-31","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-1020-m2-almadies-3207068"
"1765215470-32","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/vente-terrain-160-m-diamniadio-3252969"
"1765215470-33","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-niague-3252798"
"1765215470-34","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-215m-a-mbour-3252356"
"1765215470-35","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-300-m2-cite-socabek-3252308"
"1765215470-36","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrains-150-m2-pikine-3252120"
"1765215470-37","https://sn.coinafrique.com/categorie/terrains?page=100","","","","","https://sn.coinafrique.com/annonce/terrains/terrain-keur-massar-3252101"
