web_scraper_order,web_scraper_start_url,container_list,number_of_rooms,number_of_bathrooms,surface_area,address
"1765155146-1","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-dakar-petit-mbao-2833837","150","","","Dakar, Sénégal"
"1765155150-2","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-dakar-parcelles-assainies-2833841","150","","","Dakar, Sénégal"
"1765155154-3","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-dakar-keur-massar-2833847","150","","","Dakar, Sénégal"
"1765155158-4","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-r3-a-grand-dakar-2836076","23","5","","Grand Dakar, Dakar, Sénégal"
"1765155168-5","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-550-m-sacre-cur-2836103","5","3","550","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765155173-6","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-rufisque-nord-2837724","9","5","170","Dakar, Sénégal"
"1765155179-7","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-6-pieces-mbour-2837962","6","7","625","Mbour, Sénégal"
"1765155185-8","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/location-villa-6-pieces-mermoz-sacre-coeur-2837969","6","4","545","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1765155189-9","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-r1-almadie-2-2838053","","","","Dakar, Sénégal"
"1765155194-10","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-8-pieces-petit-mbao-2838129","8","7","180 m2","Dakar, Sénégal"
"1765155199-11","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/location-villa-7-pieces-yoff-2838803","","","","Yoff, Dakar, Sénégal"
"1765155202-12","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-derkle-2839380","","","","Dieuppeul-Derklé, Dakar, Sénégal"
"1765155206-13","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villa-9-pieces-dakar-2839992","9","6","400","Dakar, Sénégal"
"1765155211-14","https://sn.coinafrique.com/categorie/villas?page=100","https://sn.coinafrique.com/annonce/villas/vente-villas-colobane-2840001","16","8","250","Dakar, Sénégal"
